Item Branch 2nd Item Number,Item Branch Category Code 6,Item Branch G/L Category,Item-Branch Key,Item Branch Reorder Quantity,Short Name
37491,1015,SRCW,CR-10576,0,10576
38401,1035,ACCE,CR-10730,0,10730
38401,1035,ACCE,CR-10730,0,10730
62721,1040,ATVW,CR-10521,0,10521
62721,1040,ATVW,CR-10521,0,10521
63724,1010,AXLE,CR-10693,0,10693
63724,1010,AXLE,CR-10693,0,10693
65173,1050,AFAB,CR-10859,0,10859
65173,1050,AFAB,CR-10859,0,10859
265072,1015,SRCW,CR-10940,0,10940
265072,1015,SRCW,CR-10940,0,10940
63942,1050,AFAB,CR-10986,0,10986
63942,1050,AFAB,CR-10986,0,10986
915397,5020,MKTG,CR-10103,0,10103
915397,5020,MKTG,CR-10103,0,10103
13534,1015,SRCW,CR-10218,0,10218
13534,1015,SRCW,CR-10218,0,10218
15466,1015,SRCW,CR-10282,0,10282
15466,1015,SRCW,CR-10282,0,10282
19485,1015,SRCW,CR-10374,0,10374
19485,1015,SRCW,CR-10374,0,10374
23674,1015,SRCW,CR-10518,0,10518
23674,1015,SRCW,CR-10518,0,10518
27388,1015,SRCW,CR-10728,0,10728
27388,1015,SRCW,CR-10728,0,10728
30092,1030,TMTG,CR-10967,0,10967
30092,1030,TMTG,CR-10967,0,10967
34217,1015,SRCW,CR-10249,0,10249
34217,1015,SRCW,CR-10249,0,10249
35274,1050,AFAB,CR-10388,0,10388
35274,1050,AFAB,CR-10388,0,10388
37028,1015,SRCW,CR-10496,0,10496
37028,1015,SRCW,CR-10496,0,10496
38402,1035,ACCE,CR-10731,0,10731
38402,1035,ACCE,CR-10731,0,10731
39553,1050,AFAB,CR-10949,0,10949
39553,1050,AFAB,CR-10949,0,10949
61627,1050,AFAB,CR-10336,0,10336
61627,1050,AFAB,CR-10336,0,10336
62061,1025,TFAB,CR-10421,0,10421
62061,1025,TFAB,CR-10421,0,10421
