Item Branch 2nd Item Number,Item Branch Category Code 6,Item Branch G/L Category,Item-Branch Key,Item Branch Reorder Quantity,Short Name
37890,1010,AXLE,CR-10646,0,10646
37890,1010,AXLE,CR-10646,0,10646
60101,1050,AFAB,CR-10104,0,10104
60101,1050,AFAB,CR-10104,0,10104
62038,1050,AFAB,CR-10415,0,10415
62038,1050,AFAB,CR-10415,0,10415
63001,1035,ACCE,CR-10574,0,10574
63001,1035,ACCE,CR-10574,0,10574
63294,1050,AFAB,CR-10641,0,10641
63294,1050,AFAB,CR-10641,0,10641
63688,1025,TFAB,CR-10689,0,10689
63688,1025,TFAB,CR-10689,0,10689
220512,1035,ACCE,CR-10924,0,10924
220512,1035,ACCE,CR-10924,0,10924
61685,1060,TIER,PC-10342,0,10342
61685,1060,TIER,PC-10342,0,10342
13448,1025,TFAB,CR-10213,0,10213
13448,1025,TFAB,CR-10213,0,10213
15119,1015,SRCW,CR-10277,0,10277
15119,1015,SRCW,CR-10277,0,10277
18594,1015,SRCW,CR-10368,0,10368
18594,1015,SRCW,CR-10368,0,10368
23443,1015,SRCW,CR-10513,0,10513
23443,1015,SRCW,CR-10513,0,10513
28882,1040,ATVW,CR-10842,0,10842
28882,1040,ATVW,CR-10842,0,10842
34700,1035,ACCE,CR-10300,0,10300
34700,1035,ACCE,CR-10300,0,10300
35241,1015,SRCW,CR-10381,0,10381
35241,1015,SRCW,CR-10381,0,10381
37891,1010,AXLE,CR-10647,0,10647
37891,1010,AXLE,CR-10647,0,10647
38759,1025,TFAB,CR-10793,0,10793
38759,1025,TFAB,CR-10793,0,10793
61604,1050,AFAB,CR-10331,0,10331
61604,1050,AFAB,CR-10331,0,10331
62039,1025,TFAB,CR-10416,0,10416
62039,1025,TFAB,CR-10416,0,10416
63002,1030,TMTG,CR-10575,0,10575
63002,1030,TMTG,CR-10575,0,10575
63690,1015,SRCW,CR-10690,0,10690
63690,1015,SRCW,CR-10690,0,10690
220520,1035,ACCE,CR-10925,0,10925
220520,1035,ACCE,CR-10925,0,10925
61686,1060,TIER,PC-10343,0,10343
61686,1060,TIER,PC-10343,0,10343
6002,1015,SRCW,CR-10071,0,10071
6002,1015,SRCW,CR-10071,0,10071
15125,1035,ACCE,CR-10278,0,10278
15125,1035,ACCE,CR-10278,0,10278
18598,1015,SRCW,CR-10369,0,10369
18598,1015,SRCW,CR-10369,0,10369
23444,1015,SRCW,CR-10514,0,10514
23444,1015,SRCW,CR-10514,0,10514
28883,1035,ACCE,CR-10843,0,10843
28883,1035,ACCE,CR-10843,0,10843
34701,1030,TMTG,CR-10301,0,10301
34701,1030,TMTG,CR-10301,0,10301
35249,1025,TFAB,CR-10382,0,10382
35249,1025,TFAB,CR-10382,0,10382
37893,1010,AXLE,CR-10648,0,10648
37893,1010,AXLE,CR-10648,0,10648
60103,1050,AFAB,CR-10105,0,10105
60103,1050,AFAB,CR-10105,0,10105
60448,1030,TMTG,CR-10171,0,10171
60448,1030,TMTG,CR-10171,0,10171
63003,1030,TMTG,CR-10576,0,10576
63003,1030,TMTG,CR-10576,0,10576
65155,1050,AFAB,CR-10851,0,10851
65155,1050,AFAB,CR-10851,0,10851
61687,1060,TIER,PC-10344,0,10344
61687,1060,TIER,PC-10344,0,10344
6005,1015,SRCW,CR-10072,0,10072
6005,1015,SRCW,CR-10072,0,10072
13455,1015,SRCW,CR-10214,0,10214
13455,1015,SRCW,CR-10214,0,10214
27348,1015,SRCW,CR-10717,0,10717
27348,1015,SRCW,CR-10717,0,10717
28884,1040,ATVW,CR-10844,0,10844
28884,1040,ATVW,CR-10844,0,10844
34702,1030,TMTG,CR-10302,0,10302
34702,1030,TMTG,CR-10302,0,10302
35250,1025,TFAB,CR-10383,0,10383
35250,1025,TFAB,CR-10383,0,10383
36974,1015,SRCW,CR-10490,0,10490
36974,1015,SRCW,CR-10490,0,10490
38761,1025,TFAB,CR-10794,0,10794
38761,1025,TFAB,CR-10794,0,10794
60449,1030,TMTG,CR-10172,0,10172
60449,1030,TMTG,CR-10172,0,10172
62041,1050,AFAB,CR-10417,0,10417
62041,1050,AFAB,CR-10417,0,10417
63004,1030,TMTG,CR-10577,0,10577
63004,1030,TMTG,CR-10577,0,10577
220522,1035,ACCE,CR-10926,0,10926
220522,1035,ACCE,CR-10926,0,10926
6006,1015,SRCW,CR-10073,0,10073
6006,1015,SRCW,CR-10073,0,10073
11015,1025,TFAB,CR-10175,0,10175
11015,1025,TFAB,CR-10175,0,10175
25969,1015,SRCW,CR-10608,0,10608
25969,1015,SRCW,CR-10608,0,10608
27352,1015,SRCW,CR-10718,0,10718
27352,1015,SRCW,CR-10718,0,10718
28885,1045,SMWN,CR-10845,0,10845
